处方类型,CV_ka,CV_V,样本量,试验编号,GMR (%),90% CI 低 (%),90% CI 高 (%),均值差 (log),SE,是否通过BE
优质处方,0.2,0.15,12,53,105.24,94.05,117.77,0.0511,0.0626,通过
优质处方,0.2,0.15,12,54,99.97,92.66,107.86,-0.0003,0.0423,通过
优质处方,0.2,0.15,12,55,95.58,88.83,102.83,-0.0452,0.0407,通过
优质处方,0.2,0.15,12,56,102.87,94.91,111.51,0.0283,0.0449,通过
优质处方,0.2,0.15,12,57,102.71,92.84,113.64,0.0268,0.0563,通过
优质处方,0.2,0.15,12,58,92.51,83.33,102.69,-0.0779,0.0582,通过
优质处方,0.2,0.15,12,59,100.59,93.31,108.44,0.0059,0.0418,通过
优质处方,0.2,0.15,12,60,99.91,91.02,109.66,-0.0009,0.0519,通过
优质处方,0.2,0.15,12,61,102.65,93.86,112.26,0.0261,0.0498,通过
优质处方,0.2,0.15,12,62,102.74,92.84,113.7,0.027,0.0564,通过
优质处方,0.2,0.15,12,63,102.27,93.89,111.4,0.0224,0.0476,通过
优质处方,0.2,0.15,12,64,101.02,93.75,108.85,0.0101,0.0416,通过
优质处方,0.2,0.15,12,65,102.95,95.69,110.76,0.0291,0.0407,通过
优质处方,0.2,0.15,12,66,100.38,90.56,111.26,0.0038,0.0573,通过
优质处方,0.2,0.15,12,67,103.15,96.94,109.76,0.031,0.0346,通过
优质处方,0.2,0.15,12,68,100.19,91.6,109.59,0.0019,0.0499,通过
优质处方,0.2,0.15,12,69,102.95,93.33,113.55,0.029,0.0546,通过
优质处方,0.2,0.15,12,70,98.57,88.6,109.66,-0.0144,0.0594,通过
优质处方,0.2,0.15,12,71,114.92,106.26,124.28,0.139,0.0436,通过
优质处方,0.2,0.15,12,72,99.84,92.74,107.49,-0.0016,0.0411,通过
优质处方,0.2,0.15,12,73,104.57,96.27,113.59,0.0447,0.0461,通过
优质处方,0.2,0.15,12,74,99.92,91.35,109.31,-0.0008,0.05,通过
优质处方,0.2,0.15,12,75,102.39,96.9,108.19,0.0236,0.0307,通过
优质处方,0.2,0.15,12,76,98.03,93.34,102.96,-0.0199,0.0273,通过
优质处方,0.2,0.15,12,77,98.42,90.77,106.72,-0.0159,0.0451,通过
优质处方,0.2,0.15,12,78,105.05,95.71,115.31,0.0493,0.0519,通过
优质处方,0.2,0.15,12,79,101.84,97.36,106.53,0.0183,0.0251,通过
优质处方,0.2,0.15,12,80,97.86,91.01,105.22,-0.0217,0.0404,通过
优质处方,0.2,0.15,12,81,100.83,93.7,108.5,0.0083,0.0408,通过
优质处方,0.2,0.15,12,82,101.19,95.15,107.61,0.0118,0.0343,通过
优质处方,0.2,0.15,12,83,109.76,99.24,121.41,0.0932,0.0561,通过
优质处方,0.2,0.15,12,84,95.61,89.83,101.75,-0.0449,0.0347,通过
优质处方,0.2,0.15,12,85,97.06,89.0,105.85,-0.0298,0.0483,通过
优质处方,0.2,0.15,12,86,98.48,88.52,109.57,-0.0153,0.0594,通过
优质处方,0.2,0.15,12,87,103.86,95.08,113.44,0.0379,0.0491,通过
优质处方,0.2,0.15,12,88,93.18,87.79,98.89,-0.0707,0.0331,通过
优质处方,0.2,0.15,12,89,101.3,92.99,110.35,0.0129,0.0477,通过
优质处方,0.2,0.15,12,90,105.51,97.33,114.37,0.0536,0.0449,通过
优质处方,0.2,0.15,12,91,100.15,93.28,107.53,0.0015,0.0396,通过
优质处方,0.2,0.15,12,92,102.7,97.99,107.64,0.0267,0.0261,通过
优质处方,0.2,0.15,12,93,96.56,88.3,105.59,-0.035,0.0498,通过
优质处方,0.2,0.15,12,94,99.12,92.14,106.62,-0.0089,0.0407,通过
优质处方,0.2,0.15,12,95,98.16,91.93,104.81,-0.0186,0.0365,通过
优质处方,0.2,0.15,12,96,106.88,99.76,114.52,0.0666,0.0384,通过
优质处方,0.2,0.15,12,97,104.48,97.21,112.29,0.0438,0.0402,通过
优质处方,0.2,0.15,12,98,110.76,101.15,121.29,0.1022,0.0506,通过
优质处方,0.2,0.15,12,99,101.4,92.41,111.26,0.0139,0.0517,通过
优质处方,0.2,0.15,12,100,102.91,96.18,110.1,0.0286,0.0376,通过
优质处方,0.2,0.15,12,101,96.83,90.06,104.1,-0.0322,0.0403,通过
优质处方,0.2,0.15,12,102,99.26,91.13,108.11,-0.0075,0.0476,通过
优质处方,0.2,0.15,12,103,98.07,90.88,105.83,-0.0195,0.0424,通过
优质处方,0.2,0.15,12,104,99.11,90.86,108.11,-0.0089,0.0484,通过
优质处方,0.2,0.15,12,105,104.96,97.55,112.94,0.0484,0.0408,通过
优质处方,0.2,0.15,12,106,100.3,94.08,106.94,0.003,0.0357,通过
优质处方,0.2,0.15,12,107,106.31,99.68,113.38,0.0612,0.0359,通过
优质处方,0.2,0.15,12,108,101.94,95.19,109.17,0.0192,0.0382,通过
优质处方,0.2,0.15,12,109,98.36,91.54,105.69,-0.0165,0.04,通过
优质处方,0.2,0.15,12,110,99.01,88.56,110.7,-0.0099,0.0621,通过
优质处方,0.2,0.15,12,111,100.82,93.96,108.19,0.0082,0.0393,通过
优质处方,0.2,0.15,12,112,108.71,99.14,119.22,0.0836,0.0513,通过
优质处方,0.2,0.15,12,113,103.93,96.43,112.01,0.0385,0.0417,通过
优质处方,0.2,0.15,12,114,97.54,88.62,107.37,-0.0249,0.0534,通过
优质处方,0.2,0.15,12,115,94.3,86.02,103.38,-0.0587,0.0512,通过
优质处方,0.2,0.15,12,116,108.28,98.43,119.11,0.0795,0.0531,通过
优质处方,0.2,0.15,12,117,102.36,94.58,110.79,0.0234,0.0441,通过
优质处方,0.2,0.15,12,118,94.0,87.0,101.56,-0.0619,0.0431,通过
优质处方,0.2,0.15,12,119,97.39,92.94,102.04,-0.0265,0.026,通过
优质处方,0.2,0.15,12,120,106.47,100.61,112.68,0.0627,0.0315,通过
优质处方,0.2,0.15,12,121,99.94,91.86,108.72,-0.0006,0.0469,通过
优质处方,0.2,0.15,12,122,102.89,93.59,113.12,0.0285,0.0528,通过
优质处方,0.2,0.15,12,123,92.92,84.27,102.45,-0.0735,0.0544,通过
优质处方,0.2,0.15,12,124,104.19,95.63,113.51,0.041,0.0477,通过
优质处方,0.2,0.15,12,125,102.46,96.87,108.37,0.0243,0.0312,通过
优质处方,0.2,0.15,12,126,103.41,92.6,115.49,0.0335,0.0615,通过
优质处方,0.2,0.15,12,127,102.28,95.76,109.23,0.0225,0.0366,通过
优质处方,0.2,0.15,12,128,95.3,89.62,101.35,-0.0481,0.0343,通过
优质处方,0.2,0.15,12,129,102.83,95.21,111.06,0.0279,0.0429,通过
优质处方,0.2,0.15,12,130,98.69,93.43,104.24,-0.0132,0.0305,通过
优质处方,0.2,0.15,12,131,99.36,90.1,109.57,-0.0064,0.0545,通过
优质处方,0.2,0.15,12,132,102.63,94.47,111.5,0.026,0.0462,通过
优质处方,0.2,0.15,12,133,97.46,90.3,105.18,-0.0258,0.0425,通过
优质处方,0.2,0.15,12,134,100.71,95.63,106.06,0.0071,0.0288,通过
优质处方,0.2,0.15,12,135,99.03,91.42,107.28,-0.0097,0.0446,通过
优质处方,0.2,0.15,12,136,107.43,100.51,114.82,0.0716,0.0371,通过
优质处方,0.2,0.15,12,137,102.4,94.33,111.17,0.0237,0.0457,通过
优质处方,0.2,0.15,12,138,99.56,92.2,107.5,-0.0044,0.0428,通过
优质处方,0.2,0.15,12,139,98.12,92.64,103.92,-0.019,0.032,通过
优质处方,0.2,0.15,12,140,104.06,98.73,109.68,0.0398,0.0293,通过
优质处方,0.2,0.15,12,141,97.37,90.61,104.65,-0.0266,0.0401,通过
优质处方,0.2,0.15,12,142,103.02,97.57,108.77,0.0297,0.0303,通过
优质处方,0.2,0.15,12,143,97.97,90.97,105.5,-0.0205,0.0412,通过
优质处方,0.2,0.15,12,144,96.18,87.36,105.89,-0.039,0.0536,通过
优质处方,0.2,0.15,12,145,107.08,99.99,114.68,0.0684,0.0382,通过
优质处方,0.2,0.15,12,146,95.19,84.57,107.16,-0.0492,0.0659,通过
优质处方,0.2,0.15,12,147,104.39,94.72,115.05,0.043,0.0541,通过
优质处方,0.2,0.15,12,148,97.43,88.55,107.19,-0.026,0.0532,通过
优质处方,0.2,0.15,12,149,95.28,86.05,105.5,-0.0484,0.0567,通过
优质处方,0.2,0.15,12,150,103.21,95.99,110.97,0.0316,0.0404,通过
优质处方,0.2,0.15,12,151,98.49,90.95,106.65,-0.0152,0.0443,通过
优质处方,0.2,0.15,12,152,94.51,87.3,102.32,-0.0564,0.0442,通过
优质处方,0.2,0.15,12,153,106.05,96.58,116.44,0.0587,0.052,通过
优质处方,0.2,0.15,12,154,101.1,92.08,111.01,0.011,0.052,通过
优质处方,0.2,0.15,12,155,103.64,93.56,114.8,0.0358,0.057,通过
优质处方,0.2,0.15,12,156,99.09,94.08,104.38,-0.0091,0.0289,通过
优质处方,0.2,0.15,12,157,110.05,102.49,118.17,0.0958,0.0396,通过
优质处方,0.2,0.15,12,158,96.98,90.68,103.72,-0.0306,0.0374,通过
优质处方,0.2,0.15,12,159,95.89,87.04,105.65,-0.0419,0.054,通过
优质处方,0.2,0.15,12,160,113.16,102.62,124.79,0.1237,0.0544,通过
优质处方,0.2,0.15,12,161,102.41,93.19,112.55,0.0239,0.0526,通过
优质处方,0.2,0.15,12,162,102.87,94.29,112.22,0.0283,0.0485,通过
优质处方,0.2,0.15,12,163,102.48,90.62,115.9,0.0245,0.0685,通过
优质处方,0.2,0.15,12,164,92.24,85.07,100.01,-0.0808,0.045,通过
优质处方,0.2,0.15,12,165,99.49,88.61,111.71,-0.0051,0.0645,通过
优质处方,0.2,0.15,12,166,101.3,92.99,110.34,0.0129,0.0476,通过
优质处方,0.2,0.15,12,167,104.47,97.89,111.49,0.0437,0.0362,通过
优质处方,0.2,0.15,12,168,98.73,90.41,107.8,-0.0128,0.049,通过
优质处方,0.2,0.15,12,169,104.29,100.01,108.75,0.042,0.0233,通过
优质处方,0.2,0.15,12,170,108.3,100.51,116.68,0.0797,0.0415,通过
优质处方,0.2,0.15,12,171,97.58,90.47,105.24,-0.0245,0.0421,通过
优质处方,0.2,0.15,12,172,96.86,91.12,102.96,-0.0319,0.034,通过
优质处方,0.2,0.15,12,173,104.14,93.39,116.12,0.0405,0.0606,通过
优质处方,0.2,0.15,12,174,96.32,87.49,106.04,-0.0375,0.0535,通过
优质处方,0.2,0.15,12,175,98.16,91.88,104.87,-0.0186,0.0368,通过
优质处方,0.2,0.15,12,176,107.08,97.29,117.85,0.0684,0.0534,通过
优质处方,0.2,0.15,12,177,94.95,88.57,101.79,-0.0518,0.0387,通过
优质处方,0.2,0.15,12,178,104.33,98.2,110.84,0.0424,0.0337,通过
优质处方,0.2,0.15,12,179,97.38,88.4,107.26,-0.0266,0.0539,通过
优质处方,0.2,0.15,12,180,102.62,94.68,111.23,0.0259,0.0448,通过
优质处方,0.2,0.15,12,181,99.64,92.82,106.96,-0.0036,0.0395,通过
优质处方,0.2,0.15,12,182,102.62,97.18,108.37,0.0259,0.0303,通过
优质处方,0.2,0.15,12,183,102.37,93.88,111.62,0.0234,0.0482,通过
优质处方,0.2,0.15,12,184,97.0,92.7,101.5,-0.0304,0.0252,通过
优质处方,0.2,0.15,12,185,99.82,93.42,106.67,-0.0018,0.0369,通过
优质处方,0.2,0.15,12,186,102.55,92.72,113.43,0.0252,0.0561,通过
优质处方,0.2,0.15,12,187,101.94,94.35,110.15,0.0192,0.0431,通过
优质处方,0.2,0.15,12,188,100.25,92.38,108.8,0.0025,0.0455,通过
优质处方,0.2,0.15,12,189,95.41,87.22,104.36,-0.047,0.05,通过
优质处方,0.2,0.15,12,190,103.26,95.24,111.95,0.0321,0.045,通过
优质处方,0.2,0.15,12,191,99.41,90.07,109.72,-0.0059,0.0549,通过
优质处方,0.2,0.15,12,192,99.74,89.94,110.61,-0.0026,0.0576,通过
优质处方,0.2,0.15,12,193,106.94,98.8,115.75,0.0671,0.0441,通过
优质处方,0.2,0.15,12,194,92.68,86.78,98.99,-0.076,0.0367,通过
优质处方,0.2,0.15,12,195,106.84,100.27,113.83,0.0661,0.0353,通过
优质处方,0.2,0.15,12,196,107.7,100.97,114.88,0.0742,0.0359,通过
优质处方,0.2,0.15,12,197,104.74,95.07,115.4,0.0463,0.054,通过
优质处方,0.2,0.15,12,198,108.65,102.92,114.69,0.0829,0.0302,通过
优质处方,0.2,0.15,12,199,92.44,85.06,100.45,-0.0786,0.0463,通过
优质处方,0.2,0.15,12,200,95.92,86.84,105.94,-0.0417,0.0553,通过
优质处方,0.2,0.15,12,201,101.19,92.58,110.61,0.0119,0.0495,通过
优质处方,0.2,0.15,12,202,100.09,91.39,109.63,0.0009,0.0507,通过
优质处方,0.2,0.15,12,203,106.42,98.16,115.38,0.0622,0.045,通过
优质处方,0.2,0.15,12,204,105.9,97.85,114.61,0.0573,0.044,通过
优质处方,0.2,0.15,12,205,103.22,97.37,109.43,0.0317,0.0325,通过
优质处方,0.2,0.15,12,206,92.86,86.53,99.66,-0.0741,0.0393,通过
优质处方,0.2,0.15,12,207,103.74,98.31,109.46,0.0367,0.0299,通过
优质处方,0.2,0.15,12,208,95.47,87.24,104.48,-0.0463,0.0502,通过
优质处方,0.2,0.15,12,209,96.88,89.31,105.1,-0.0317,0.0453,通过
优质处方,0.2,0.15,12,210,96.45,88.35,105.29,-0.0362,0.0488,通过
优质处方,0.2,0.15,12,211,102.75,91.06,115.93,0.0271,0.0672,通过
优质处方,0.2,0.15,12,212,96.5,89.77,103.74,-0.0356,0.0403,通过
优质处方,0.2,0.15,12,213,106.18,98.3,114.7,0.06,0.043,通过
优质处方,0.2,0.15,12,214,104.77,95.93,114.41,0.0466,0.049,通过
优质处方,0.2,0.15,12,215,106.02,96.79,116.12,0.0584,0.0507,通过
优质处方,0.2,0.15,12,216,98.06,91.55,105.04,-0.0196,0.0382,通过
优质处方,0.2,0.15,12,217,105.55,98.45,113.16,0.054,0.0388,通过
优质处方,0.2,0.15,12,218,101.94,93.05,111.69,0.0192,0.0508,通过
优质处方,0.2,0.15,12,219,107.14,98.38,116.69,0.069,0.0475,通过
优质处方,0.2,0.15,12,220,109.31,100.62,118.76,0.089,0.0461,通过
优质处方,0.2,0.15,12,221,100.63,92.25,109.77,0.0063,0.0484,通过
优质处方,0.2,0.15,12,222,98.49,91.47,106.06,-0.0152,0.0412,通过
优质处方,0.2,0.15,12,223,100.32,94.29,106.73,0.0032,0.0345,通过
优质处方,0.2,0.15,12,224,103.93,94.0,114.91,0.0386,0.0559,通过
优质处方,0.2,0.15,12,225,100.88,94.86,107.28,0.0087,0.0342,通过
优质处方,0.2,0.15,12,226,107.33,101.25,113.77,0.0707,0.0324,通过
优质处方,0.2,0.15,12,227,92.99,88.73,97.46,-0.0727,0.0261,通过
优质处方,0.2,0.15,12,228,99.17,90.9,108.18,-0.0084,0.0484,通过
优质处方,0.2,0.15,12,229,92.01,83.98,100.81,-0.0832,0.0509,通过
优质处方,0.2,0.15,12,230,103.31,95.63,111.62,0.0326,0.043,通过
优质处方,0.2,0.15,12,231,97.31,89.97,105.24,-0.0273,0.0437,通过
优质处方,0.2,0.15,12,232,92.99,84.89,101.87,-0.0726,0.0508,通过
优质处方,0.2,0.15,12,233,91.73,85.93,97.91,-0.0864,0.0363,通过
优质处方,0.2,0.15,12,234,93.27,87.01,99.98,-0.0697,0.0387,通过
优质处方,0.2,0.15,12,235,97.78,90.4,105.77,-0.0224,0.0437,通过
优质处方,0.2,0.15,12,236,93.9,85.74,102.84,-0.0629,0.0506,通过
优质处方,0.2,0.15,12,237,101.62,94.22,109.61,0.0161,0.0421,通过
优质处方,0.2,0.15,12,238,93.61,86.07,101.81,-0.066,0.0468,通过
优质处方,0.2,0.15,12,239,106.76,97.85,116.48,0.0654,0.0485,通过
优质处方,0.2,0.15,12,240,97.75,88.61,107.84,-0.0227,0.0547,通过
优质处方,0.2,0.15,12,241,92.95,84.07,102.76,-0.0731,0.0559,通过
优质处方,0.2,0.15,12,242,103.97,96.84,111.62,0.0389,0.0395,通过
优质处方,0.2,0.15,12,243,97.88,91.12,105.15,-0.0214,0.0399,通过
优质处方,0.2,0.15,12,244,103.81,95.9,112.36,0.0374,0.0441,通过
优质处方,0.2,0.15,12,245,98.57,90.09,107.84,-0.0144,0.0501,通过
优质处方,0.2,0.15,12,246,109.12,98.62,120.74,0.0873,0.0563,通过
优质处方,0.2,0.15,12,247,103.44,97.41,109.84,0.0338,0.0334,通过
优质处方,0.2,0.15,12,248,98.54,93.53,103.83,-0.0147,0.0291,通过
优质处方,0.2,0.15,12,249,103.75,95.68,112.49,0.0368,0.0451,通过
优质处方,0.2,0.15,12,250,105.25,96.6,114.68,0.0512,0.0478,通过
优质处方,0.2,0.15,12,251,100.5,93.12,108.47,0.005,0.0425,通过
优质处方,0.2,0.15,12,252,91.31,85.08,97.98,-0.0909,0.0393,通过
优质处方,0.2,0.15,12,253,108.77,99.61,118.77,0.0841,0.049,通过
优质处方,0.2,0.15,12,254,104.87,95.62,115.01,0.0475,0.0514,通过
优质处方,0.2,0.15,12,255,101.83,93.9,110.43,0.0181,0.0451,通过
优质处方,0.2,0.15,12,256,101.49,92.89,110.89,0.0148,0.0493,通过
优质处方,0.2,0.15,12,257,104.41,93.4,116.72,0.0432,0.062,通过
优质处方,0.2,0.15,12,258,101.12,93.33,109.56,0.0111,0.0446,通过
优质处方,0.2,0.15,12,259,100.66,92.75,109.24,0.0066,0.0455,通过
优质处方,0.2,0.15,12,260,96.41,87.9,105.74,-0.0366,0.0514,通过
优质处方,0.2,0.15,12,261,107.72,98.32,118.01,0.0743,0.0508,通过
优质处方,0.2,0.15,12,262,98.81,89.83,108.69,-0.012,0.0531,通过
优质处方,0.2,0.15,12,263,98.59,89.51,108.58,-0.0142,0.0538,通过
优质处方,0.2,0.15,12,264,97.99,88.43,108.6,-0.0203,0.0572,通过
优质处方,0.2,0.15,12,265,101.57,95.78,107.71,0.0156,0.0327,通过
优质处方,0.2,0.15,12,266,100.68,92.61,109.45,0.0068,0.0465,通过
优质处方,0.2,0.15,12,267,103.03,95.43,111.24,0.0299,0.0427,通过
优质处方,0.2,0.15,12,268,96.88,89.4,104.98,-0.0317,0.0447,通过
优质处方,0.2,0.15,12,269,112.43,103.05,122.67,0.1172,0.0485,通过
优质处方,0.2,0.15,12,270,93.61,84.36,103.89,-0.066,0.058,通过
优质处方,0.2,0.15,12,271,99.79,93.53,106.48,-0.0021,0.0361,通过
优质处方,0.2,0.15,12,272,106.55,97.34,116.63,0.0634,0.0503,通过
优质处方,0.2,0.15,12,273,104.36,94.78,114.92,0.0427,0.0536,通过
优质处方,0.2,0.15,12,274,99.1,89.8,109.37,-0.009,0.0549,通过
优质处方,0.2,0.15,12,275,92.28,84.43,100.87,-0.0803,0.0495,通过
优质处方,0.2,0.15,12,276,95.82,88.44,103.8,-0.0428,0.0446,通过
优质处方,0.2,0.15,12,277,87.1,82.18,92.31,-0.1382,0.0324,通过
优质处方,0.2,0.15,12,278,102.05,95.76,108.75,0.0202,0.0354,通过
优质处方,0.2,0.15,12,279,103.38,94.43,113.17,0.0332,0.0504,通过
优质处方,0.2,0.15,12,280,107.01,99.46,115.15,0.0678,0.0408,通过
优质处方,0.2,0.15,12,281,103.15,95.41,111.51,0.031,0.0434,通过
优质处方,0.2,0.15,12,282,101.19,93.93,109.02,0.0119,0.0415,通过
优质处方,0.2,0.15,12,283,99.37,91.84,107.51,-0.0063,0.0439,通过
优质处方,0.2,0.15,12,284,94.32,83.99,105.92,-0.0584,0.0646,通过
优质处方,0.2,0.15,12,285,97.46,89.93,105.61,-0.0258,0.0447,通过
优质处方,0.2,0.15,12,286,101.31,93.43,109.87,0.0131,0.0451,通过
优质处方,0.2,0.15,12,287,100.47,91.83,109.92,0.0047,0.0501,通过
优质处方,0.2,0.15,12,288,108.41,99.66,117.93,0.0808,0.0469,通过
优质处方,0.2,0.15,12,289,99.87,92.15,108.25,-0.0013,0.0448,通过
优质处方,0.2,0.15,12,290,96.54,85.54,108.96,-0.0352,0.0674,通过
优质处方,0.2,0.15,12,291,111.62,101.27,123.02,0.1099,0.0541,通过
优质处方,0.2,0.15,12,292,102.44,93.29,112.49,0.0241,0.0521,通过
优质处方,0.2,0.15,12,293,101.76,93.92,110.24,0.0174,0.0446,通过
优质处方,0.2,0.15,12,294,95.38,88.32,103.02,-0.0473,0.0429,通过
优质处方,0.2,0.15,12,295,88.14,81.6,95.2,-0.1263,0.0429,通过
优质处方,0.2,0.15,12,296,101.21,92.76,110.44,0.012,0.0486,通过
优质处方,0.2,0.15,12,297,97.99,92.2,104.15,-0.0203,0.0339,通过
优质处方,0.2,0.15,12,298,99.14,89.51,109.81,-0.0086,0.0569,通过
优质处方,0.2,0.15,12,299,99.97,90.82,110.03,-0.0003,0.0534,通过
优质处方,0.2,0.15,12,300,97.33,89.09,106.34,-0.0271,0.0493,通过
优质处方,0.2,0.15,12,301,108.75,100.84,117.27,0.0839,0.042,通过
优质处方,0.2,0.15,12,302,96.94,90.23,104.16,-0.031,0.04,通过
优质处方,0.2,0.15,12,303,100.82,92.76,109.59,0.0082,0.0464,通过
优质处方,0.2,0.15,12,304,95.79,88.62,103.54,-0.043,0.0433,通过
优质处方,0.2,0.15,12,305,92.9,85.28,101.2,-0.0736,0.0477,通过
优质处方,0.2,0.15,12,306,90.48,84.5,96.87,-0.1001,0.038,通过
优质处方,0.2,0.15,12,307,97.51,89.89,105.77,-0.0253,0.0453,通过
优质处方,0.2,0.15,12,308,104.82,99.01,110.97,0.0471,0.0318,通过
优质处方,0.2,0.15,12,309,98.51,91.96,105.53,-0.015,0.0383,通过
优质处方,0.2,0.15,12,310,97.91,93.09,102.99,-0.0211,0.0281,通过
优质处方,0.2,0.15,12,311,99.5,92.52,107.01,-0.005,0.0405,通过
优质处方,0.2,0.15,12,312,100.19,94.17,106.59,0.0019,0.0345,通过
优质处方,0.2,0.15,12,313,98.14,90.12,106.87,-0.0188,0.0474,通过
优质处方,0.2,0.15,12,314,97.07,90.09,104.58,-0.0298,0.0415,通过
优质处方,0.2,0.15,12,315,99.91,94.42,105.72,-0.0009,0.0315,通过
优质处方,0.2,0.15,12,316,99.02,89.2,109.91,-0.0099,0.0581,通过
优质处方,0.2,0.15,12,317,92.74,85.9,100.13,-0.0754,0.0427,通过
优质处方,0.2,0.15,12,318,99.5,92.71,106.78,-0.005,0.0393,通过
优质处方,0.2,0.15,12,319,98.07,92.03,104.51,-0.0195,0.0354,通过
优质处方,0.2,0.15,12,320,98.87,93.11,105.0,-0.0113,0.0335,通过
优质处方,0.2,0.15,12,321,108.76,102.07,115.88,0.084,0.0353,通过
优质处方,0.2,0.15,12,322,97.67,88.37,107.95,-0.0236,0.0557,通过
优质处方,0.2,0.15,12,323,108.57,103.27,114.13,0.0822,0.0278,通过
优质处方,0.2,0.15,12,324,100.73,95.9,105.8,0.0072,0.0273,通过
优质处方,0.2,0.15,12,325,93.38,87.09,100.13,-0.0684,0.0388,通过
优质处方,0.2,0.15,12,326,104.39,95.38,114.24,0.0429,0.0502,通过
优质处方,0.2,0.15,12,327,105.57,99.63,111.87,0.0542,0.0323,通过
优质处方,0.2,0.15,12,328,100.05,92.24,108.52,0.0005,0.0452,通过
